1012,50,1217/2
769,54,1095/2
926,4,1289/2
792,8,528
905,9,1323/2
674,20,859/2
990,18,1455/2
625,12,901/2
891,5,622
644,1,441
1022,16,1405/2
505,12,377
1191,3,1781/2
989,17,671
952,38,1349/2
1023,17,737
1042,63,1321/2
971,12,593
833,5,1115/2
948,29,1243/2
789,2,1033/2
998,10,685
834,13,1109/2
851,26,1139/2
572,8,881/2
866,36,535
913,31,631
779,1,1053/2
1006,40,1367/2
1012,7,1319/2
839,7,1195/2
1017,43,760
905,7,1187/2
778,31,1089/2
1002,6,1141/2
880,16,1259/2
1159,18,1521/2
879,6,1157/2
779,19,563
846,16,1199/2
